ID,Location,Latitude,Longitude
1,Andheri East,19.115327,72.852745
2,Andheri West,19.116949,72.833519
3,Antop Hill,19.023417,72.868452
4,Bandra East,19.061486,72.848756
5,Bandra Kurla Complex,19.06731,72.865448
6,Bandra Reclamation,19.0511,72.829406
7,Bandra West,19.057574,72.828419
8,Bangur Nagar,19.168178,72.834043
9,Borivali East,19.226394,72.862015
10,Borivali West,19.228501,72.847595
11,Byculla East,18.97314,72.834722
12,Chandiwali,19.108682,72.893303
13,Charkop,19.212454,72.825966
14,Chembur West,19.057275,72.899166
15,Chembur East,19.04599,72.893548
16,Churchgate,18.934791,72.827086
17,Colaba,18.914509,72.824083
18,Cumballa Hill,18.967933,72.805372
19,Dadar East,19.014811,72.851983
20,Dadar West,19.023174,72.837982
21,Delisle Road,18.992606,72.831464
22,Dharavi,19.044299,72.858789
23,Elphinstone Road,19.007877,72.841419
24,Fertilizer Colony,19.03624,72.895064
25,Film City,19.161206,72.886056
26,Ghatkopar East,19.083411,72.911747
27,Ghatkopar West,19.0899,72.90488
28,Girgaon,18.953856,72.817857
29,Goregaon East,19.168665,72.855157
30,Goregaon West,19.162833,72.841448
31,Juhu,19.106081,72.827511
32,Juhu Tara Road,19.084669,72.832146
33,Kalbadevi,18.948741,72.8279
34,Kalina,19.079082,72.861
35,Kandiwali East,19.209618,72.863556
36,Kandiwali West,19.207429,72.841587
37,Khar,19.072642,72.833915
38,Kharodi,19.191047,72.813811
39,Kurla East,19.062575,72.882736
40,LalBaug,18.990718,72.83572
41,Lokhandwala Complex,19.142939,72.824408
42,Lower Parel,19.002769,72.830016
43,Madh,19.136942,72.7913
44,Mahim,19.042403,72.839921
45,Mahul,19.013534,72.897324
46,Malabar Hill,18.95771,72.803136
47,Malad East,19.185543,72.855835
48,Malad West,19.183597,72.840557
49,Marve,19.193296,72.798307
50,Matunga East,19.023429,72.850158
51,Milk Aarey Colony,19.155287,72.871063
52,Mulund East,19.170141,72.960858
53,Mulund West,19.171763,72.951502
54,Nehru Nagar,19.000497,72.818858
55,Orlem,19.193945,72.838819
56,Poisar,19.211967,72.846565
57,Powai,19.118794,72.906734
58,Prabhadevi,19.014557,72.828041
59,Sion East,19.042848,72.865208
60,Sion West,19.047554,72.859199
61,Thane,19.192933,72.97028
62,Versova,19.130779,72.818079
63,Victoria Garden,18.980156,72.833801
64,Vikhroli East,19.116848,72.932483
65,Vile Parle East,19.095761,72.844593
66,Vile Parle West,19.103872,72.840473
67,Wadala,19.026517,72.876382
68,Worli,19.011051,72.819516
69,Kalyan,19.2437,73.1355
70,Dombivli,19.2183,73.0867
